230,184,226,206,196,-1.33,-10.40,0.35
230,184,226,206,196,-1.33,-10.40,0.35
232,184,231,230,203,-1.45,-10.16,0.47
239,184,300,317,235,-3.06,-9.96,-0.51
252,181,333,385,291,-4.20,-7.77,-1.33
253,181,371,415,311,-5.69,-8.67,-1.77
258,179,374,423,327,-5.92,-7.26,-2.55
253,181,375,415,326,-6.39,-6.35,-3.41
246,178,369,422,362,-6.43,-5.73,-3.84
260,182,368,406,332,-6.67,-5.49,-3.80
260,178,359,414,326,-6.51,-5.37,-4.39
262,180,362,411,339,-6.71,-4.67,-4.59
258,183,361,405,347,-6.35,-4.82,-4.71
264,178,363,406,361,-6.55,-4.79,-4.67
257,179,361,405,336,-6.00,-5.73,-4.28
254,176,335,381,303,-5.41,-8.59,-2.24
260,179,302,320,244,-3.84,-9.57,-1.57
240,183,243,226,208,-2.16,-9.81,-1.61
235,182,209,201,192,-1.53,-10.20,-1.06
225,183,202,192,195,-0.71,-10.24,-0.78
237,184,201,193,187,-0.31,-10.36,-0.67
231,180,199,196,191,0.12,-10.51,-0.39
227,179,198,190,195,-0.51,-10.36,-0.43
235,185,205,190,191,-0.27,-10.43,-0.27
235,185,205,190,191,-0.27,-10.43,-0.27
