217,179,198,234,179,0.55,-10.55,1.02
218,186,204,222,183,0.67,-10.55,0.94
221,184,205,242,184,0.59,-10.87,1.33
220,179,204,184,178,0.86,-10.63,0.90
225,188,212,295,184,0.75,-10.63,1.10
322,227,246,320,192,0.51,-10.75,1.65
367,270,289,268,208,0.67,-10.98,0.75
418,324,331,376,266,0.67,-10.83,0.94
408,351,354,333,297,0.71,-10.67,0.59
411,359,351,360,319,0.47,-10.55,0.47
408,370,360,398,322,0.82,-10.67,0.67
395,361,363,400,318,0.90,-10.63,0.59
400,363,364,403,323,0.94,-10.63,0.35
395,358,359,388,323,0.75,-10.55,0.71
389,356,359,370,323,0.71,-10.55,0.59
392,357,357,387,320,0.78,-10.59,0.47
389,351,351,311,317,0.90,-10.71,0.51
341,262,287,339,222,0.63,-10.83,0.82
306,188,212,191,187,0.75,-10.67,0.75
291,184,203,184,183,0.55,-10.59,0.43
241,176,197,180,181,0.71,-10.83,0.39
225,181,199,186,183,0.82,-10.55,0.24
223,182,200,180,182,0.63,-10.63,0.08
223,182,201,180,182,0.55,-10.67,0.00
223,182,202,181,182,0.47,-10.63,0.04
